ds,y,yhat
2023-01-01,17007.079999999994,21870.91586948012
2023-02-01,31879.80999999999,21834.842514322427
2023-03-01,24643.290000000005,21802.311276208053
2023-04-01,20418.589999999993,21766.351071485602
2023-05-01,14393.08999999999,21731.607358740275
2023-06-01,19748.920000000016,21695.763793885693
2023-07-01,21336.15999999999,21661.132779222087
2023-08-01,27256.950000000008,21625.405455067797
2023-09-01,20476.63,21589.737058076676
2023-10-01,28925.33999999999,21555.27527264554
2023-11-01,28620.279999999995,21519.722532168158
2023-12-01,21988.32999999998,21485.372480221256
2024-01-01,21726.480000000007,21449.935040912365
2024-02-01,11845.869999999992,21414.556046137466
2024-03-01,30990.130000000016,21381.512404804373
2024-04-01,16538.850000000002,21346.246279834275
2024-05-01,17688.069999999996,21312.17317218867
2024-06-01,15271.289999999999,21277.021440052355
2024-07-01,22278.750000000004,21243.058855556457
2024-08-01,27537.4,21208.021138870477
2024-09-01,21889.400000000012,21173.04121243023
2024-10-01,23163.20999999999,21139.24460494465
2024-11-01,26592.55999999999,21104.37811662679
2024-12-01,16963.150000000005,21070.691109820447
